Round Number,Date,Location,Home Team,Away Team,Result
28,18/04/2020 16:45,Netstrata Jubilee Stadium,Sydney FC,Newcastle Jets,
28,18/04/2020 19:00,AAMI Park,Melbourne Victory,Western United FC,
28,19/04/2020 15:30,Westpac Stadium,Wellington Phoenix,Brisbane Roar FC,
28,19/04/2020 17:30,Central Coast Stadium,Central Coast Mariners,Western Sydney Wanderers FC,
29,24/04/2020 19:00,McDonald Jones Stadium,Newcastle Jets,Western United FC,
29,25/04/2020 13:30,Suncorp Stadium,Brisbane Roar FC,Adelaide United,
29,25/04/2020 19:00,Bankwest Stadium,Western Sydney Wanderers FC,Wellington Phoenix,
29,26/04/2020 15:30,AAMI Park,Melbourne City FC,Sydney FC,
29,26/04/2020 17:30,HBF Park,Perth Glory,Central Coast Mariners,
Elim Finals,01/05/2020 09:30,,To be announced,To be announced,
Elim Finals,01/05/2020 09:30,,To be announced,To be announced,
Semi Finals,08/05/2020 09:30,,To be announced,To be announced,
Semi Finals,08/05/2020 09:30,,To be announced,To be announced,
Grand Final,16/05/2020 09:30,,To be announced,To be announced,
